S.No.,Registration No.,Type,Hired/Purchased,Last Status Date,Last Status Date -,Last Status,Customer,Status,Capacity,Cost Center,Last Trip End Date,Current Trip Start Date,Idle Time,Origin,Destination,Current Loc
46,TMJ 604,Prime Mover,purchased,$2024-01-18,2024-01-18,Out Going,PAF,,52000,3PDU,7/6/2023,0:00,195,PAK ARAB REFINERY LTD (PARCO),PAF Base Shahbaz SBZ,"Rajanpur Tehsil, Rajanpur District, Dera Ghazi Khan Division, Punjab, 33500, Pakistan"
47,JQ 1516,Prime Mover,purchased,$2024-01-17,2024-01-17,Waiting in queue,ISL,,52000,Dry Cargo,1/16/2024,-,2,Port Qasim,Landhi,"Karachi Division, Sindh, 75010, Pakistan"
48,JQ 1517,Prime Mover,purchased,$2024-01-17,2024-01-17,Out Going,Al Syed Enterprises,,52000,LQC,7/3/2023,0:00,198,Bakri Depot,Narowal,"Mehrabpur Taluka, Naushahro Feroze District, Shaheed Benazirabad Division, Sindh, Pakistan"
49,JQ 1519,Prime Mover,purchased,$2024-01-18,2024-01-18,Waiting in queue,Colgate,,60000,LQC,7/6/2023,0:00,196,Karachi Terminal Kemari,Kotri,"Mauripur Town, Keamari District, Karachi Division, Sindh, 75020, Pakistan"
50,LA 7747,PORTER H-100,purchased,$2024-01-17,2024-01-17,Waiting in queue,IIL,,-,Dry Cargo,1/16/2024,-,2,Karachi,Karachi,"Korangi Town, Korangi District, Karachi Division, Sindh, 75230, Pakistan"
51,LA 7749,PORTER H-100,purchased,$2024-01-17,2024-01-17,Waiting in queue,IIL,,-,Dry Cargo,1/16/2024,-,2,Karachi,Karachi,"Karachi East District, Karachi Division, Sindh, 75300, Pakistan"
52,LA 7752,PORTER H-100,purchased,$2024-01-17,2024-01-17,Waiting in queue,IIL,,-,Dry Cargo,1/16/2024,-,2,Karachi,Karachi,"Karachi East District, Karachi Division, Sindh, 75300, Pakistan"
53,LA 7758,PORTER H-100,purchased,$2024-01-17,2024-01-17,Waiting in queue,IIL,,-,Dry Cargo,1/16/2024,-,2,Karachi,Karachi,"Sui Gas Company Karachi Society, Gulshan-e-Iqbal Town, Karachi East District, Gulshan Town, Sindh, 75300, Pakistan"
54,LA 7762,PORTER H-100,purchased,$2024-01-16,2024-01-16,Waiting in queue,IIL,,-,Dry Cargo,1/15/2024,-,3,Karachi,Karachi,"Karachi East District, Karachi Division, Sindh, 75100, Pakistan"
55,LA 7763,PORTER H-100,purchased,$2024-01-17,2024-01-17,Waiting in queue,IIL,,-,Dry Cargo,1/16/2024,-,2,Karachi,Karachi,"Bin Qasim Town, Malir District, Karachi Division, Sindh, 75120, Pakistan"
56,JZ 7702,NKR,purchased,$2024-01-17,2024-01-17,Out Going,T&T,,-,Dry Cargo,8/3/2023,0:00,167,Agility Warehouse,United Agro - Khi,"NLC workshop - Landhi, Bin Qasim Town, Malir District, Karachi Division, Sindh, 75030, Pakistan"
57,JZ 7703,NKR,purchased,$2024-01-18,2024-01-18,Decanting,T&T,,-,Dry Cargo,7/16/2023,0:00,183,Agility Warehouse,Habib Sugar Mill - Nawabshah,"Rawalpindi Saddar Tehsil, Rawalpindi District, Rawalpindi Division, Punjab, Pakistan"
58,JZ 7704,NKR,purchased,$2024-01-18,2024-01-18,On way back,T&T,,-,Dry Cargo,8/3/2023,0:00,161,Agility Warehouse,PTC Akora Khattak,"Multan District, Multan Division, Punjab, Pakistan"
,,,,,,,,,,,1/8/1900,,,,,
